Adjektiv,IPA,Komparativ,IPA,Superlativ,IPA,Typs
verheiratet,fɛɐ̯ˈhaɪ̯ʁaːtət,-,-,-,-,*
gut,ɡuːt,besser,IPA,besten,IPA,*
alt,alt,älter,IPA,ältesten,IPA,*
perfekt,pɛʁˈfɛkt,perfekter,IPA,perfektesten,IPA,*
geschieden,ɡəˈʃiːdn̩,-,-,-,-,*
allein,aˈlaɪ̯n,KOMPARATIV,IPA,SUPERLATIV,IPA,*
ledig,ˈleːdɪç,KOMPARATIV,IPA,SUPERLATIV,IPA,*
viel,fiːl,mehr,meːɐ̯,meisten,ˈmaɪ̯stn̩,*
prominent,pʁomiˈnɛnt,KOMPARATIV,IPA,SUPERLATIV,IPA,*
kurz,kʊʁt͡s,KOMPARATIV,IPA,SUPERLATIV,IPA,*
bekannt,bəˈkant,bekannter,bəˈkantɐ,bekanntesten,bəˈkantəstn̩,*
unbekannt,ˈʊnbəkant,KOMPARATIV,IPA,SUPERLATIV,IPA,*
berühmt,bəˈʁyːmt,KOMPARATIV,IPA,SUPERLATIV,IPA,*
beruflich,bəˈʁuːflɪç,KOMPARATIV,IPA,SUPERLATIV,IPA,*
groß,ɡʁoːs,größer,IPA,größten,IPA,*
klein,klaɪ̯n,KOMPARATIV,IPA,SUPERLATIV,IPA,*
warm,vaʁm,wärmer,IPA,wärmsten,IPA,*
alkoholfrei,alkoˈhoːlˌfʁaɪ̯,-,-,-,-,*
frei,fʁaɪ̯,freier,IPA,freiesten/freisten,IPA,*
alkoholisch,alkoˈhoːlɪʃ,-,-,-,-,*
schön,ʃøːn,schöner,IPA,schönsten,IPA,*
wunderschön,ˌvʊndɐˈʃøːn,wunderschöner,IPA,wunderschönsten,IPA,*
herrlich,ˈhɛʁlɪç,herrlicher,IPA,herrlichsten,IPA,*
kalt,kalt,kälter,IPA,kältesten,IPA,*
beliebt,bəˈliːpt,beliebter,bəˈliːptɐ,beliebtesten,bəˈliːptəstn̩,*
herzlich,ˈhɛʁt͡slɪç,herzlicher,IPA,herzlichsten,IPA,*
einzeln,ˈaɪ̯nt͡sl̩n,-,-,-,-,*
natürlich,naˈtyːɐ̯lɪç,natürlicher,IPA,natürlichsten,IPA,*
persönlich,pɛʁˈzøːnlɪç,persönlicher,IPA,persönlichsten,IPA,Ableitung.-lich
bar,baːɐ̯,-,-,-,-,*
doppelt,ˈdɔpl̩t,-,-,-,-,Lehnwort.fr
neu,nɔɪ̯,neuer,IPA,neusten/neuesten,IPA,*
gleich,ɡlaɪ̯ç,gleicher,IPA,-,-,*
wunderbar,ˈvʊndɐbaːɐ̯,wunderbarer,IPA,wunderbarsten,IPA,Ableitung.-bar
wigtig,ˈvɪçtɪç,wichtiger,IPA,wichtigsten,IPA,*
international,ˌɪntɐnat͡si̯oˈnaːl,-,-,-,-,Ableitung.inter-
national,ˌnat͡si̯oˈnaːl,nationaler,IPA,nationlasten,IPA,*
europäisch,ˌɔɪ̯ʁoˈpɛːɪʃ,europäischer,IPA,europäischsten,IPA,Ableitung.-isch:Ableitung.Umlaut
zentral,t͡sɛnˈtʁaːl,zentraler,IPA,zantralsten,IPA,Lehnwort.la
deutsch,dɔɪ̯t͡ʃ,deutscher,ˈdɔɪ̯t͡ʃɐ,deutschenesten,ˈdɔɪ̯t͡ʃəstn̩,gehörig.Land,*
besondere,bəˈzɔndəʁə,-,-,-,-,*
hoch,hoːx,höher,IPA,höchsten,IPA,*
mittel,ˈmɪtl̩,mitt[le]r,IPA,mittelsten,IPA,*
privat,pʁiˈvaːt,privater,IPA,privatesten,IPA,Lehnwort.la
geehrt,ɡəˈʔeːɐ̯t,-,-,-,-,*
freundlich,ˈfʁɔɪ̯ntlɪç,freundlicher,IPA,freundlichsten,IPA,Ableitung.-lich
richtig,ˈʁɪçtɪç,richtiger,ˈʁɪçtɪɡɐ,richtigsten,ˈʁɪçtɪçstn̩,de
los,loːs,-,-,-,-,*
früh,fʁyː,früher,IPA,frühesten/frühsten,IPA,*
gerade,ɡəˈʁaːdə,gerader,IPA,geradesten,IPA,*
prima,ˈpʁiːma,-,-,-,-,*
super,ˈzuːpɐ,-,-,-,-,*
eins,aɪ̯ns,-,-,-,-,Numerale.1
später,ˈʃpɛːtɐ,-,-,-,-,
technisch,ˈtɛçnɪʃ,-,-,-,-,de
um,ʊm,-,-,-,-,de
halb,halp,-,-,-,-,de
anderthalb,ˈandɐtˈhalp,-,-,-,-,Komposita.-t-:Numerale.1½
zweieinhalb,ˈt͡svaɪ̯ʔaɪ̯nˈhalp,-,-,-,-,Numerale.2½
dreieinhalb,ˈt͡svaɪ̯ʔaɪ̯nˈhalp,-,-,-,-,Numerale.3½
zwei,t͡svaɪ̯,-,-,-,-,Numerale.2
fern,fɛʁn,ferner,ˈfɛʁnɐ,fernsten,ˈfɛʁnstn̩,räumlich:zeitlich
täglich,ˈtɛːklɪç,-,-,-,-,Ableitung.-lich
jung,jʊŋ,jünger,ˈjʏŋɐ,jüngsten,ˈjʏŋstn̩,de
möglich,ˈmøːklɪç,möglicher,ˈmøːklɪçɐ,möglichsten,ˈmøːklɪçstn̩,de
gringend,ˈdʁɪŋənt,dringender,ˈdʁɪŋəndɐ,dringendsten,ˈdʁɪŋənt͡stn̩,Ableitung.Konversion
fortgeschritten,ˈfɔʁtɡəˌʃʁɪtn̩,fortgeschrittenr,ˈfɔʁtɡəˌʃʁɪtənɐ,fortgeschrittensten,ˈfɔʁtɡəˌʃʁɪtn̩stən,Ableitung.Konversion
klassisch,ˈklasɪʃ,klassischer,ˈklasɪʃɐ,klassischsten,ˈklasɪʃstn̩,Lehnwort.la
modern,moˈdɛʁn,moderner,moˈdɛʁnɐ,modernsten,moˈdɛʁnstn̩,Lehnwort.fr
nah,naː,näher,ˈnɛːɐ,nächsten,ˈnɛːçstən,räumlich:zeitlich:abstrakt
spezial,ʃpeˈt͡si̯aːl,spezialer,ʃpeˈt͡si̯aːlɐ,spezialsten,ʃpeˈt͡si̯aːlstn̩,
muttersprachlich,ˈmʊtɐˌʃpʁaːxlɪç,-,-,-,-,Ableitung.-ich
dringend,ˈdʁɪŋənt,dringender,ˈdʁɪŋəndɐ,dringendsten,ˈdʁɪŋənt͡stn̩,Ableitung.Konversion
