Adverb,IPA,Komparativ,IPA,Superlativ,IPA,Typs
jetzt,jɛt͡st,KOMPARATIV,IPA,SUPERLATIV,IPA,Temporaladverb
insgesamt,ˈɪnsɡəˌzamt,KOMPARATIV,IPA,SUPERLATIV,IPA,*
auch,aʊ̯x,KOMPARATIV,IPA,SUPERLATIV,IPA,*
sehr,zeːɐ̯,KOMPARATIV,IPA,SUPERLATIV,IPA,Gradpartikel
zusammen,t͡suˈzamən,KOMPARATIV,IPA,SUPERLATIV,IPA,*
oft,ɔft,KOMPARATIV,IPA,SUPERLATIV,IPA,Temporaladverb
nicht,nɪçt,-,-,-,-,Negationspartikel
dort,dɔʁt,KOMPARATIV,IPA,SUPERLATIV,IPA,*
vielleicht,fiˈlaɪ̯çt,KOMPARATIV,IPA,SUPERLATIV,IPA,Modaladverb
einmal,ˈaɪ̯nmaːl,-,-,-,-,Adverb.Wiederholungszahlwort
noch,nɔx,KOMPARATIV,IPA,SUPERLATIV,IPA,*
gern/gerne,ɡɛʁn/ˈɡɛʁnə,lieber/gerner,ˈliːbɐ/ˈɡɛʁnɐ,liebsten/gernsten,ˈliːpstn̩/ˈɡɛʁnstn̩,*
wirklich,ˈvɪʁklɪç,-,-,-,-,*
manchmal,ˈmançmaːl,-,-,-,-,Temporaladverb
so,zoː,-,-,-,-,Gradpartikel
doch,dɔx,-,-,-,-,*
hier,hiːɐ̯,-,-,-,-,Lokaladverb
morgen,ˈmɔʁɡn̩,-,-,-,-,Temporaladverb
schon,ʃoːn,-,-,-,-,Temporaladverb
da,daː,-,-,-,-,Lokaladverb
wie,viː,-,-,-,-,Interrogativadverb
bitte,ˈbɪtə,-,-,-,-,*
extra,ˈɛkstʁa,-,-,-,-,*
danach,daˈnaːx,-,-,-,-,Pronominaladverb
heute,ˈhɔɪ̯tə,-,-,-,-,Temporaladverb
etwa,ˈɛtva,-,-,-,-,Adverb
darunter,daˈʁʊntɐ,-,-,-,-,Pronominaladverb
immer,ˈɪmɐ,-,-,-,-,Adverb
gerade,ɡəˈʁaːdə,-,-,-,-,Temporaladverb
gestern,ˈɡɛstɐn,-,-,-,-,Temporaladverb
gleich,ɡlaɪ̯ç,-,-,-,-,*
spät,ʃpɛːt,später,ˈʃpɛːtɐ,spätesten,ˈʃpɛːtəstn̩,*
züruch,t͡suˈʁʏk,-,-,-,-,*
montags,ˈmoːntaːks,-,-,-,-,Temporaladverb:Ableitung.-s
dienstags,ˈdiːnstaːks,-,-,-,-,Temporaladverb:Ableitung.-s
mittwochs,ˈmɪtvɔxs,-,-,-,-,Temporaladverb:Ableitung.-s
donnerstags,ˈdɔnɐsˌtaːks,-,-,-,-,Temporaladverb:Ableitung.-s
freitags,ˈfʁaɪ̯taːks,-,-,-,-,Temporaladverb:Ableitung.-s
samstags,ˈzamstaːks,-,-,-,-,Temporaladverb:Ableitung.-s
sonntags,ˈzɔntaːks,-,-,-,-,Temporaladverb:Ableitung.-s
morgens,ˈmɔʁɡn̩s,-,-,-,-,Temporaladverb:Ableitung.-s
vormittags,ˈfoːɐ̯mɪˌtaːks,-,-,-,-,Temporaladverb:Ableitung.-s
mittags,ˈmɪtaːks,-,-,-,-,Temporaladverb:Ableitung.-s
nachmittags,ˈnaːxmɪˌtaːks,-,-,-,-,Temporaladverb:Ableitung.-s
abends,ˈaːbn̩t͡s,-,-,-,-,Temporaladverb:Ableitung.-s
leider,ˈlaɪ̯dɐ,-,-,-,-,Modaladverb
wieder,ˈviːdɐ,-,-,-,-,*
meistens,ˈmaɪ̯stn̩s,-,-,-,-,Ableitung.-s
nachts,naxt͡s,-,-,-,-,Temporaladverb:Ableitung.-s
mitternachts,ˈmɪtɐˌnaxt͡s,-,-,-,-,Temporaladverb:Ableitung.-s
zweimal,ˈaɪ̯nmaːl,-,-,-,-,Adverb.Wiederholungszahlwort
dreimal,ˈdʁaɪ̯maːl,-,-,-,-,Adverb.Wiederholungszahlwort
fünfmal,ˈfʏnfmaːl,-,-,-,-,Adverb.Wiederholungszahlwort
nie,niː,-,-,-,-,Adverb.Wiederholungszahlwort
besonders,bəˈzɔndɐs,-,-,-,-,Fokuspartikel:Ableiung.-s
gleichfalls,ˈɡlaɪ̯çˌfals,-,-,-,-,*
zu,t͡suː,-,-,-,-,Intensitätspartikel
sofort,zoˈfɔʁt,-,-,-,-,Temporaladverb
überhapt,ˌyːbɐˈhaʊ̯pt,-,-,-,-,Komposita.kein
unterwegs,ʊntɐˈveːks,-,-,-,-,de
womit,ˈvoːmɪt,-,-,-,-,de
warum,vaˈʁʊm,-,-,-,-,de
überall,yːbɐˈʔal,-,-,-,-,Komposita.kein
hin,hɪn,-,-,-,-,de
