Verb,IPA,regelmaßig,trennbar,ich.PS.I,du.PS.I,er/sie/es.PS.I,wir.PS.I,ihr.PS.I,sie/Sie.PS.I,ich.PS.K,du.PS.K,er/sie/es.PS.K,wir.PS.K,ihr.PS.K,sie/Sie.PS.K,ich.PT.I,du.PT.I,er/sie/es.PT.I,wir.PT.I,ihr.PT.I,sie/Sie.PT.I,ich.PT.K,du.PT.K,er/sie/es.PT.K,wir.PT.K,ihr.PT.K,sie/Sie.PT.K,Perfekt,Hilfsverb,Typs
hören,ˈhøːʁən,True,TRENNBAR,höre,hörst,hört,hören,hört,hören,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,gehört,haben,*
wiederholen,ˌviːdɐˈhoːlən,True,False,wiederhole,wiederholst,wiederholt,wiederholen,wiederholt,wiederholen,ICH,DU,ERSIEES,WIR,IHR,SIE,wiederholte,wiederholtest,wiederholte,wiederholten,wiederholtet,wiederholten,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
lesen,ˈleːzn̩,False,Not,lese,l[ie]st,l[ie]st,lesen,lest,lesen,ICH,DU,ERSIEES,WIR,IHR,SIE,l[a],l[a]sest/l[a]st,l[a]s,l[a]sen,l[a]st,l[a]sen,ICH,DU,ERSIEES,WIR,IHR,SIE,gelesen,haben,de
sprechen,ˈʃpʁɛçn̩,False,Not,spreche,spr[i]chst,spr[i]cht,sprechen,sprecht,sprechen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,gespr[o]chen,haben,*
schreiben,ˈʃʁaɪ̯bn̩,False,Not,schreibe,schreibst,schreibt,schreiben,schreibt,schreiben,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,geschr[ie]ben,haben,*
berichten,bəˈʁɪçtn̩,True,TRENNBAR,berichte,berichtest,berichtet,berichten,berichtet,berichten,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
fragen,ˈfʁaːɡn̩,True,TRENNBAR,frage,fragst,fragt,fragen,fragt,fragen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
spielen,ˈʃpiːlən,True,TRENNBAR,spiele,spielst,spielt,spielen,spielt,spielen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,gespielt,haben,*
arbeiten,ˈaʁbaɪ̯tn̩,True,TRENNBAR,arbeite,arbeitest,arbeitet,arbeiten,arbeitet,arbeiten,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,gearbeitet,haben,*
suchen,ˈzuːxn̩,True,TRENNBAR,suche,suchst,sucht,suchen,sucht,suchen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
ordnen,ˈɔʁdnən,True,TRENNBAR,ordne,ordnest,ordnet,ordnen,ordnet,ordnen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
ergänzen,ɛɐ̯ˈɡɛnt͡sn̩,True,TRENNBAR,ergänze,ergänzt,ergänzt,ergänzen,ergänzt,ergänzen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
markieren,maʁˈkiːʁən,True,TRENNBAR,markiere,markierst,markiert,markieren,markiert,markieren,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
unterstreichen,ˌʊntɐˈʃtʁaɪ̯çn̩,False,TRENNBAR,unterstreiche,unterstreichst,unterstreicht,unterstreichen,unterstreicht,unterstreichen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
buchstabieren,ˌbuːxʃtaˈbiːʁən,True,TRENNBAR,buchstabiere,buchstabierst,buchstabiert,buchstabieren,buchstabiert,buchstabieren,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
formulieren,fɔʁmuˈliːʁən,True,TRENNBAR,formuliere,formulierst,formuliert,formulieren,formuliert,formulieren,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,formuliert,haben,*
bilden,ˈbɪldn̩,True,Not,bilde,bildest,bildet,bilden,bildet,bilden,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
achten,ˈaxtn̩,True,TRENNBAR,achte,achtest,achtet,achten,achtet,achten,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
formen,ˈfɔʁmən,True,TRENNBAR,forme,formst,formt,formen,formt,formen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
tauschen,ˈtaʊ̯ʃn̩,True,TRENNBAR,tausche,tauschst,tauscht,tauschen,tauscht,tauschen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
kreuzen,ˈkʁɔɪ̯t͡sn̩,True,TRENNBAR,kreuze,kreuzt,kreuzt,kreuzen,kreuzt,kreuzen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
notieren,noˈtiːʁən,True,TRENNBAR,notiere,notierst,notiert,notieren,notiert,notieren,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
heißen,ˈhaɪ̯sn̩,False,TRENNBAR,heiße,heißt,heißt,heißen,heißt,heißen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
verstehen,fɛɐ̯ˈʃteːən,False,Not,verstehe,verstehst,versteht,verstehen,versteht,verstehen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
